Gene,Treatment1,Treatment2,Treatment3,Vector1,Vector2,Vector3,KO1,KO2,KO3,WT1,WT2,WT3
SLC6A12,5.173436998,5.052709208,5.504372944,5.194205572,4.974482775,4.719824224,5.047261317,4.915055833,4.853207168,4.636978873,4.789995119,4.908474567
WNT5B,13.40068371,13.07870288,13.42021855,12.91866962,13.19335855,13.2574803,11.61923785,11.5617546,11.56775996,12.86205373,13.14246518,12.94762423
MAGOHB,9.832268571,10.37025572,9.986953614,9.741558253,9.609455868,9.599779024,9.946332144,9.965136882,9.965702183,9.622034981,9.644001199,9.551616125
TRPV4,4.902086206,5.052709208,4.875127734,4.958621355,4.865967513,4.968144176,5.632184363,5.55433843,5.563133241,4.826191326,4.789995119,4.376859979
ITFG2,9.818981925,10.18887231,9.851434512,9.390164152,9.335442481,9.281777656,9.877913052,9.909156611,10.01595183,9.480014464,9.61744806,9.645466326
PARP11,9.123378168,9.064144162,8.915429698,8.70855111,8.739760964,8.515545003,8.637579827,8.750044385,8.551697074,8.874428486,8.801801773,8.619450487
ARPC3,12.87969373,13.02036597,13.03225569,12.80199203,12.65797751,12.71820155,12.87362617,13.00899747,12.92079197,12.60376665,12.78055256,12.58279751
GPN3,10.59054905,10.97088394,10.50474883,10.76849093,10.66859057,10.70496955,11.39207722,11.49020884,11.44834397,10.73691886,10.87538332,10.71826831
VPS29,11.98659827,12.143375,12.00185201,11.95007035,11.72200823,11.78629492,11.90637763,11.99191004,11.89444519,11.7458238,11.78393089,11.67348241
RAD51AP1,10.0788422,10.92222613,9.958189217,10.41985753,10.05933261,10.19825352,10.88043279,10.84105553,10.95428468,10.28387314,10.12727466,10.16394414
SH2B3,13.75888098,13.86914885,13.42109672,13.62738639,13.25763099,13.40708037,15.9546574,16.03120313,16.01150825,14.48728545,14.37796519,14.66443624
MANSC1,8.665864,8.071606271,8.350508936,8.036138698,8.12874727,8.215618087,8.223706872,8.212001408,8.322803171,8.925652294,9.067435459,9.056444478
DUSP16,9.717612902,9.549031185,9.451315695,10.03172969,10.07715783,10.0013698,10.55060281,10.562768,10.48847273,9.788257101,9.851221033,9.854170245
ACAD10,10.41334616,10.28689111,10.34638349,10.48566693,10.62629961,10.48864039,11.124304,11.39469479,10.9984777,10.80786356,11.00989321,10.82499895
CDKN1B,11.33503589,11.31826731,11.27957826,11.21827011,11.39650163,11.38054081,11.31053187,11.46355829,11.23849118,11.5479245,11.60997089,11.55763416
NAA25,10.73111282,10.86649642,10.44554702,10.90959591,10.94931391,10.89304264,11.20747426,11.33277808,11.20954041,11.10973396,10.98934298,10.88064532
GSG1,6.184698393,7.346302989,6.42195067,6.094627297,5.450813696,5.882901996,6.492613249,6.183131331,6.480386906,5.963510823,5.977408879,6.12074046
LTBR,11.67063938,11.3907527,11.70685783,11.37157897,11.3372369,11.37542475,11.60590942,11.55241771,11.56068153,11.5115737,11.75307302,11.86699723
CDK2AP1,12.98995954,12.83169986,12.97584847,13.32569243,13.19873283,13.32752903,13.22468877,13.18409849,13.20160246,12.93909453,13.05123695,13.02521917
OAS3,11.8273376,11.92674736,11.56547735,11.94506708,11.74499166,11.8854443,12.02812919,12.03444637,12.01048302,12.01826254,11.97586613,12.05736931
OAS2,9.366147462,8.176227347,9.042052474,9.147221389,9.321905012,9.338143176,8.516470321,8.869384181,8.493226641,9.893752923,10.11950655,10.00338851
MGP,5.226944012,4.930347725,5.231623836,4.376859979,4.723535226,4.860756096,4.766225435,4.688784496,5.25830385,5.638617513,5.026807914,5.540521389
ARHGDIB,9.608569296,10.52302719,9.927603122,7.612704431,7.949210103,7.659722412,9.709637257,9.689839919,9.72575424,9.363109574,9.361033006,9.415470105
GTF2H3,11.33917649,11.53431878,11.26350966,11.42825519,11.36057448,11.3799023,11.54766471,11.52212696,11.62994977,11.28520908,11.2381042,11.15729174
EIF2B1,11.36580452,11.65764163,11.40384135,11.17405053,11.03552825,11.12792833,10.95093321,10.88263154,10.92913502,10.90737493,10.94608873,10.99868279
DDX55,10.40250314,10.80040946,10.41059318,10.40170785,10.39267125,10.46715553,10.7576514,10.72782083,10.67452189,10.32407197,10.32838808,10.29207132
SLC38A1,13.45284296,13.85836376,13.17535616,13.29914396,13.32239121,13.19060731,13.85799533,13.95718107,13.98429862,13.59871907,13.413634,13.34827939
ENDOU,5.276941774,5.324301577,5.470212817,5.257798405,5.065328529,5.27196984,5.57697855,5.590854309,5.372089787,6.11215571,6.179472137,6.184002077
C12orf49,11.15942338,11.45460665,11.05584169,11.34839626,11.24422538,11.30788162,11.79827952,11.88588165,11.83746589,11.28285804,11.3869249,11.38625016
VDR,12.09830025,12.43429593,12.18257734,11.79789155,11.97667169,11.8641447,12.73969516,12.78914826,12.78908684,12.74082546,12.67514224,12.82023805
RFC5,10.89829925,11.56486246,10.87408409,10.81311462,10.63835392,10.71411802,11.2692983,11.291283,11.21301756,10.71033639,10.69528311,10.68864225
STX2,10.75145232,10.68847823,10.6946844,11.18611696,11.36519703,11.27803542,10.99788054,11.06310068,10.97163211,11.00712376,10.98140751,10.929307
GPR133,4.982242512,4.930347725,4.784362904,5.316619131,4.865967513,4.860756096,4.766225435,4.997136348,4.853207168,4.376859979,4.376859979,4.684941522
COPZ1,12.93442671,13.08783709,13.01039446,12.98760683,12.93456543,12.88700019,13.25511389,13.38811845,13.17207489,12.83996925,13.19117252,12.93190763
CAND1,12.97822643,13.07379028,12.74670828,13.00574072,12.9776774,12.92185051,13.22560634,13.37069428,13.27994316,13.23318103,13.24225319,13.16278871
KRR1,10.68467916,10.93995536,10.50723253,11.18964679,11.01129652,10.97142907,10.8342526,10.86010241,10.89230483,10.81330432,10.67650103,10.7592234
